E6A55_00265,E6A55_00265,Dispensable
E6A55_00270,E6A55_00270,Dispensable
E6A55_00275,E6A55_00275,Dispensable
E6A55_00280,E6A55_00280,Dispensable
E6A55_00285,E6A55_00285,Dispensable
E6A55_00290,E6A55_00290,Dispensable
E6A55_00295,E6A55_00295,Dispensable
E6A55_00300,E6A55_00300,Dispensable
E6A55_00305,E6A55_00305,Dispensable
E6A55_00310,dbpA,Dispensable
E6A55_00315,E6A55_00315,Dispensable
E6A55_00320,E6A55_00320,Dispensable
E6A55_00325,E6A55_00325,Dispensable
E6A55_00330,E6A55_00330,Dispensable
E6A55_00335,E6A55_00335,Dispensable
E6A55_00340,E6A55_00340,Dispensable
E6A55_00345,gstA,Dispensable
E6A55_00350,E6A55_00350,Dispensable
E6A55_00355,hydA,Dispensable
E6A55_00360,E6A55_00360,Dispensable
E6A55_00365,E6A55_00365,Dispensable
E6A55_00370,E6A55_00370,Dispensable
E6A55_00375,E6A55_00375,Dispensable
E6A55_00380,E6A55_00380,Dispensable
E6A55_00385,E6A55_00385,Dispensable
E6A55_00390,E6A55_00390,Dispensable
E6A55_00395,E6A55_00395,Dispensable
E6A55_00400,E6A55_00400,Dispensable
E6A55_00405,E6A55_00405,Dispensable
E6A55_00410,E6A55_00410,Dispensable
E6A55_00415,E6A55_00415,Dispensable
E6A55_00420,E6A55_00420,Dispensable
E6A55_00425,E6A55_00425,Dispensable
E6A55_00430,E6A55_00430,Dispensable
E6A55_00435,minE,Dispensable
E6A55_00440,minD,Dispensable
E6A55_00445,minC,Dispensable
E6A55_00450,E6A55_00450,Dispensable
E6A55_00455,E6A55_00455,Dispensable
E6A55_00460,E6A55_00460,Dispensable
E6A55_00465,E6A55_00465,Dispensable
E6A55_00470,E6A55_00470,Dispensable
E6A55_00475,E6A55_00475,Dispensable
E6A55_00480,E6A55_00480,Dispensable
E6A55_00485,E6A55_00485,Dispensable
E6A55_00490,E6A55_00490,Dispensable
E6A55_00495,E6A55_00495,Dispensable
E6A55_00500,E6A55_00500,Dispensable
E6A55_00505,E6A55_00505,Dispensable
E6A55_00510,E6A55_00510,Dispensable
E6A55_00515,E6A55_00515,Dispensable
E6A55_00520,E6A55_00520,Dispensable
E6A55_00525,E6A55_00525,Dispensable
E6A55_00530,mnmE,Dispensable
E6A55_00535,E6A55_00535,Dispensable
E6A55_00540,E6A55_00540,Dispensable
E6A55_00545,E6A55_00545,Dispensable
E6A55_00550,E6A55_00550,Dispensable
E6A55_00555,gatB,Essential
E6A55_00560,E6A55_00560,Dispensable
E6A55_00565,E6A55_00565,Dispensable
E6A55_00570,gatA,Dispensable
E6A55_00575,gatC,Dispensable
E6A55_00580,E6A55_00580,Dispensable
E6A55_00585,mreC,Dispensable
E6A55_00590,mreD,Dispensable
E6A55_00595,mrdA,Dispensable
E6A55_00600,rodA,Dispensable
E6A55_00605,E6A55_00605,Dispensable
E6A55_00610,E6A55_00610,Dispensable
E6A55_00615,gcvA,Dispensable
E6A55_00620,E6A55_00620,Dispensable
E6A55_00625,lipB,Dispensable
E6A55_00630,lipA,Dispensable
E6A55_00635,pxpB,Dispensable
E6A55_00640,E6A55_00640,Dispensable
